"id","local_name","current_description","wp_title","wp_description","confidence","status"
"1","Bases para tartas individuales (x6)","Bases crujientes y livianas de harina integral. Ideales para armar tus propias tartas saladas en casa.","Base para Tartas Individuales(6)","Base para tartas individuales, 100% harina integral: perfecta para tus recetas más saludables. Con una textura crujiente y un sabor suave, es ideal para rellenar con tus ingredientes preferidos. Sin aditivos ni harinas refinadas, esta base es la opción natural para disfrutar de una comida rica y nutritiva. (PRECIO POR 6 UNIDADES)","0,6","review"
"2","Chips (x12)","Pequeños chips de pan integral, suaves por dentro y doraditos por fuera. El bocado perfecto para tus picadas.","Chips Integrales (12)","Nuestros chips integrales son perfectos para armar tus sandwiches o disfrutar como quieras. Hechos con harina integral de calidad, vienen en bandejas de 12 unidades listas para acompañar tus comidas o picadas.","0,5","review"
"3","Chips rellenos de JyQ (x12)","Clásicos chips integrales rellenos con abundante jamón y queso. Un éxito asegurado en cualquier reunión.","Chips rellenos de JyQ Integrales (12)","Estos chips integrales son el snack perfecto para cualquier momento del día. Hechos con harina integral, combinan lo mejor del sabor clásico con un toque nutritivo.","0,833","auto"
"4","Chips rellenos de caprese (x12)","El sabor de Italia en pequeños panes integrales rellenos de queso, tomate y albahaca fresca.","Chips Rellenos con Caprese(12)","Estos exquisitos chips de harina integral rellenos de caprese te traen todo el sabor mediterráneo en un solo bocado. Con tomate jugoso, albahaca fresca y queso derretido, cada chip es una combinación perfecta de sabores naturales. Vienen en bandeja de 12 Unidades.","0,6","review"
"5","Crackers con semillas (250g)","Crujientes y livianas, con una mezcla de semillas que aportan sabor y nutrientes. Ideales para acompañar quesos.","Crackers con semillas (bolsa 250g)","Nuestras crackers de harina integral con semillas son el snack perfecto para cualquier momento del día. Hechas con una mezcla de semillas de girasol, sésamo y chía, estos crackers son tan crujientes como nutritivos. Vienen en una bolsa de aproximadamente 250g. Sin conservantes ni harinas refinadas, estas crackers son una opción saludable para acompañar cualquier cosa.","0,75","auto"
"6","Crutones (250g)","Trocitos de pan integral tostados y sazonados. El toque crocante que tus sopas y ensaladas necesitan.","Crutones (bolsa 250g)","Nuestros crutones de harina integral son perfectos para darle ese toque final a tus platos favoritos. Hechos con pan de harina integral, son crujientes y llenos de sabor, ideales para agregar textura a ensaladas, sopas o acompañar tus comidas.","0,5","review"
"7","Focaccia con Cherry y Aceituna (grande)","Esponjosa focaccia integral cubierta con jugosos tomates cherry y aceitunas. Un festín de sabores mediterráneos.","Focaccia Integral","Focaccia integral con tomates cherry, aceitunas y especias, perfecta para acompañar o disfrutar sola. ¡Un sabor rústico y delicioso en cada bocado! !También se puede pedir en tamaño grande!","0,143","manual"
"8","Focaccia con Cherry y Aceituna (chica)","Esponjosa focaccia integral cubierta con jugosos tomates cherry y aceitunas, en formato individual.","Focaccia Integral","Focaccia integral con tomates cherry, aceitunas y especias, perfecta para acompañar o disfrutar sola. ¡Un sabor rústico y delicioso en cada bocado! !También se puede pedir en tamaño grande!","0,143","manual"
"9","Hamburguesas Legumbres (x6)","Sabrosas y nutritivas hamburguesas a base de legumbres. Una alternativa vegetal llena de proteínas y sabor.","Hamburguesas Legumbres (x6)","Elaboradas con ingredientes naturales, nuestras hamburguesas de legumbres vienen en bandejas de 6 unidades y podés elegir entre varios sabores: Lenteja, Garbanzo, Arroz yamaní, Arvejas, Verduras con Arroz yamaní, Soja con Cebolla caramelizada o Calabaza con avena. ¡Una opción nutritiva y deliciosa para cada gusto!","1","auto"
"10","Pan de Nuez grande (900g)","Un pan rústico e imponente, con el toque crujiente y el sabor inconfundible de las nueces.","Pan de Nuez","Nuestro pan de nuez grande es una verdadera delicia casera, hecha con harina integral para ofrecerte un pan nutritivo y lleno de sabor. Con un peso aproximado de 900g , este pan es perfecto para compartir. Su textura rústica y su carga de nueces lo convierten en un pan ideal para acompañar tus comidas, ensaladas, o incluso como snack entre horas.","0,75","auto"
"11","Pan Integral grande con semillas (900g)","El infaltable pan de molde integral, cubierto de semillas crujientes. Perfecto para tus tostadas de cada mañana.","Pan de Molde Integral","Pan de Molde Horneado. Nuestro pan de molde, elaborado con harina integral y semillas ofrece una miga densa y nutritiva con una corteza dorada. Perfecto para sandwiches o tostadas, cada rebanada combina el sabor auténtico de la harina integral con una textura esponjosa y saludable.","0,286","manual"
"12","Pan saborizado chico (x12)","Pancitos saborizados con hierbas y especias. Ideales para armar los sandwiches más sabrosos.","Pan Árabe (6)","Pan Árabe Integral (precio x 6 unidades). Livianos, versátiles y preparados con harina integral. Perfectos para acompañar picadas, rellenar o simplemente disfrutar solos. Saludables y caseros, para cualquier ocasión.","0,25","manual"
